Channel,Timestamp,Current,Year,Month,Day,Hour,Minute,Second,Total_time,Capacity
111,2024-06-21 09:46:27,15.626000000000001,2024,06,21,09,46,27,,
111,2024-06-21 09:46:28,15.626999999999999,2024,06,21,09,46,28,,
111,2024-06-21 09:46:29,15.626000000000001,2024,06,21,09,46,29,,
111,2024-06-21 09:46:30,15.626999999999999,2024,06,21,09,46,30,,
111,2024-06-21 09:46:31,15.626000000000001,2024,06,21,09,46,31,,
111,2024-06-21 09:46:32,15.626999999999999,2024,06,21,09,46,32,,
111,2024-06-21 09:46:33,15.626000000000001,2024,06,21,09,46,33,,
111,2024-06-21 09:46:34,15.626999999999999,2024,06,21,09,46,34,,
111,2024-06-21 09:46:35,15.626000000000001,2024,06,21,09,46,35,,
111,2024-06-21 09:46:36,15.626000000000001,2024,06,21,09,46,36,,
111,2024-06-21 09:46:37,15.626999999999999,2024,06,21,09,46,37,,
111,2024-06-21 09:46:38,15.626999999999999,2024,06,21,09,46,38,,
111,2024-06-21 09:46:39,15.626000000000001,2024,06,21,09,46,39,,
111,2024-06-21 09:46:40,15.626000000000001,2024,06,21,09,46,40,,
111,2024-06-21 09:46:41,15.626000000000001,2024,06,21,09,46,41,,
111,2024-06-21 09:46:42,15.626000000000001,2024,06,21,09,46,42,,
111,2024-06-21 09:46:43,15.626999999999999,2024,06,21,09,46,43,,
111,2024-06-21 09:46:44,15.626000000000001,2024,06,21,09,46,44,,
111,2024-06-21 09:46:45,15.626000000000001,2024,06,21,09,46,45,,
111,2024-06-21 09:46:46,15.626999999999999,2024,06,21,09,46,46,,
111,2024-06-21 09:46:47,15.626000000000001,2024,06,21,09,46,47,,
111,2024-06-21 09:46:48,15.626999999999999,2024,06,21,09,46,48,,
111,2024-06-21 09:46:49,15.626000000000001,2024,06,21,09,46,49,,
111,2024-06-21 09:46:50,15.626000000000001,2024,06,21,09,46,50,,
111,2024-06-21 09:46:51,15.626999999999999,2024,06,21,09,46,51,,
111,2024-06-21 09:46:52,15.626999999999999,2024,06,21,09,46,52,,
111,2024-06-21 09:46:53,15.626999999999999,2024,06,21,09,46,53,,
111,2024-06-21 09:46:54,15.626000000000001,2024,06,21,09,46,54,,
111,2024-06-21 09:46:55,15.626999999999999,2024,06,21,09,46,55,,
111,2024-06-21 09:46:56,15.626999999999999,2024,06,21,09,46,56,,
111,2024-06-21 09:46:57,15.626999999999999,2024,06,21,09,46,57,,
111,2024-06-21 09:46:58,15.626999999999999,2024,06,21,09,46,58,,
111,2024-06-21 09:46:59,15.626999999999999,2024,06,21,09,46,59,,
111,2024-06-21 09:47:00,15.626999999999999,2024,06,21,09,47,0,,
111,2024-06-21 09:47:01,15.626999999999999,2024,06,21,09,47,1,,
111,2024-06-21 09:47:02,15.626999999999999,2024,06,21,09,47,2,,
111,2024-06-21 09:47:03,15.626999999999999,2024,06,21,09,47,3,,
111,2024-06-21 09:47:04,15.626999999999999,2024,06,21,09,47,4,,
111,2024-06-21 09:47:05,15.626999999999999,2024,06,21,09,47,5,,
111,2024-06-21 09:47:06,15.626999999999999,2024,06,21,09,47,6,,
111,2024-06-21 09:47:07,15.626999999999999,2024,06,21,09,47,7,,
111,2024-06-21 09:47:08,15.628,2024,06,21,09,47,8,,
111,2024-06-21 09:47:09,15.626999999999999,2024,06,21,09,47,9,,
111,2024-06-21 09:47:10,15.626999999999999,2024,06,21,09,47,10,,
111,2024-06-21 09:47:11,15.626999999999999,2024,06,21,09,47,11,,
111,2024-06-21 09:47:12,15.626999999999999,2024,06,21,09,47,12,,
111,2024-06-21 09:47:13,15.628,2024,06,21,09,47,13,,
111,2024-06-21 09:47:14,15.626999999999999,2024,06,21,09,47,14,,
111,2024-06-21 09:47:15,15.626999999999999,2024,06,21,09,47,15,,
111,2024-06-21 09:47:16,15.626999999999999,2024,06,21,09,47,16,,
111,2024-06-21 09:47:17,15.626999999999999,2024,06,21,09,47,17,,
111,2024-06-21 09:47:18,15.626999999999999,2024,06,21,09,47,18,,
111,2024-06-21 09:47:19,15.628,2024,06,21,09,47,19,,
